,id,id_gov_de,administrative_area_level,administrative_area_level_2,administrative_area_level_3,latitude_x,longitude_x,population,key_numeric,latitude_y,longitude_y
65,5951ee00,9564,3,Bayern,SK Nürnberg,,,,9564,49.4362114486,11.0827553426
66,7d876024,6434,3,Hessen,LK Hochtaunuskreis,,,,6434,50.2816152547,8.50464605826
67,a6d2a793,6412,3,Hessen,SK Frankfurt am Main,,,,6412,50.117968104,8.64419039448
68,f02f8420,3352,3,Niedersachsen,LK Cuxhaven,,,,3352,53.6165865049,8.81238237187
69,38aa027b,5554,3,Nordrhein-Westfalen,LK Borken,,,,5554,51.9613198354,6.89961561244
70,fded5c51,5162,3,Nordrhein-Westfalen,LK Rhein-Kreis Neuss,,,,5162,51.1435712356,6.64932316692
71,07a75060,5378,3,Nordrhein-Westfalen,LK Rheinisch-Bergischer Kreis,,,,5378,51.0230044262,7.19484653806
72,ef935e7a,14628,3,Sachsen,LK Sächsische Schweiz-Osterzgebirge,,,,14628,50.9167179421,13.8734340504
73,2f67c264,1053,3,Schleswig-Holstein,LK Herzogtum Lauenburg,,,,1053,53.5890024203,10.6018592215
74,734da131,1062,3,Schleswig-Holstein,LK Stormarn,,,,1062,53.7208005726,10.3316398811
75,47abd652,8116,3,Baden-Württemberg,LK Esslingen,,,,8116,48.6480216763,9.36916572775
76,dce439b1,8215,3,Baden-Württemberg,LK Karlsruhe,,,,8215,49.0818849258,8.56279664203
77,761960be,8336,3,Baden-Württemberg,LK Lörrach,,,,8336,47.703504023,7.77402882816
78,f7c96a72,8225,3,Baden-Württemberg,LK Neckar-Odenwald-Kreis,,,,8225,49.4666097739,9.28011000163
79,d714cbc3,8119,3,Baden-Württemberg,LK Rems-Murr-Kreis,,,,8119,48.899008131,9.50121295556
80,f429d2d9,8421,3,Baden-Württemberg,SK Ulm,,,,8421,48.3908327419,9.9500211353
81,3202f952,9275,3,Bayern,LK Passau,,,,9275,48.5586304532,13.3666035859
82,f936090b,11010,3,Berlin,SK Berlin Marzahn-Hellersdorf,,,,11010,,
83,972a08dc,11001,3,Berlin,SK Berlin Mitte,,,,11001,,
84,eef6b078,11008,3,Berlin,SK Berlin Neukölln,,,,11008,,
85,7e49ade9,11007,3,Berlin,SK Berlin Tempelhof-Schöneberg,,,,11007,,
86,0ded94ab,6431,3,Hessen,LK Bergstraße,,,,6431,49.6177012221,8.66011611597
87,0a8050b2,6435,3,Hessen,LK Main-Kinzig-Kreis,,,,6435,50.2438645181,9.28622299151
88,750f9289,13075,3,Mecklenburg-Vorpommern,LK Vorpommern-Greifswald,,,,13075,53.7895111552,13.780696363
89,6c69c31f,3451,3,Niedersachsen,LK Ammerland,,,,3451,53.2184881736,8.01326226621
90,804570af,3357,3,Niedersachsen,LK Rotenburg (Wümme),,,,3357,53.2507583937,9.30658483814
91,0e111c4b,5374,3,Nordrhein-Westfalen,LK Oberbergischer Kreis,,,,5374,51.0127091971,7.51662881723
92,60eaa5b1,5382,3,Nordrhein-Westfalen,LK Rhein-Sieg-Kreis,,,,5382,50.7606389137,7.23457302819
93,5f0d36eb,1056,3,Schleswig-Holstein,LK Pinneberg,,,,1056,53.7180840651,9.73686669973
94,42d162bb,16075,3,Thüringen,LK Saale-Orla-Kreis,,,,16075,50.5808480206,11.7105737336
95,ea5f2781,8435,3,Baden-Württemberg,LK Bodenseekreis,,,,8435,47.7334602866,9.40077001359
96,442f023c,8316,3,Baden-Württemberg,LK Emmendingen,,,,8316,48.1485120637,7.89755038202
97,8b3ea896,8128,3,Baden-Württemberg,LK Main-Tauber-Kreis,,,,8128,49.5607007055,9.72508840096
98,332832aa,8317,3,Baden-Württemberg,LK Ortenaukreis,,,,8317,48.4209719355,8.01621990932
99,045146ad,8437,3,Baden-Württemberg,LK Sigmaringen,,,,8437,48.0391514971,9.24100350319
100,f0a4ae6b,8221,3,Baden-Württemberg,SK Heidelberg,,,,8221,49.4055152955,8.69417184974
101,d9cf43f1,8111,3,Baden-Württemberg,SK Stuttgart,,,,8111,48.7745339639,9.17206798796
102,33a4ffa0,9771,3,Bayern,LK Aichach-Friedberg,,,,9771,48.4275701484,11.0527555565
103,ada406c6,9372,3,Bayern,LK Cham,,,,9372,49.2370651553,12.6954795471
104,ae44be6d,9576,3,Bayern,LK Roth,,,,9576,49.2029170864,11.1235654086
105,0e235966,11002,3,Berlin,SK Berlin Friedrichshain-Kreuzberg,,,,11002,,
106,792469f0,11003,3,Berlin,SK Berlin Pankow,,,,11003,,
107,72625690,13071,3,Mecklenburg-Vorpommern,LK Mecklenburgische Seenplatte,,,,13071,53.5436927516,13.0024606209
108,9c6c37bc,13073,3,Mecklenburg-Vorpommern,LK Vorpommern-Rügen,,,,13073,54.2842029523,12.9915254157
109,f20d56bc,3456,3,Niedersachsen,LK Grafschaft Bentheim,,,,3456,52.4760534093,7.01985676166
110,850a662a,3457,3,Niedersachsen,LK Leer,,,,3457,53.2435417357,7.46976164078
111,ff105676,3403,3,Niedersachsen,SK Oldenburg,,,,3403,53.1445781697,8.22435903936
112,311c4e50,5558,3,Nordrhein-Westfalen,LK Coesfeld,,,,5558,51.8668510417,7.36601223345
113,fe0de4fa,5766,3,Nordrhein-Westfalen,LK Lippe,,,,5766,51.9814226536,8.95083727251
114,25b6ca94,5911,3,Nordrhein-Westfalen,SK Bochum,,,,5911,51.469927372,7.22493523189
115,2ba59b2c,5111,3,Nordrhein-Westfalen,SK Düsseldorf,,,,5111,51.235456959,6.81020262394
116,2917b4f1,7332,3,Rheinland-Pfalz,LK Bad Dürkheim,,,,7332,49.4530205976,8.11030493729
117,c07411c4,7334,3,Rheinland-Pfalz,LK Germersheim,,,,7334,49.1159081733,8.2461937699
118,81ac53a7,7111,3,Rheinland-Pfalz,SK Koblenz,,,,7111,50.348516061,7.5795510239
119,854543d0,7315,3,Rheinland-Pfalz,SK Mainz,,,,7315,49.9741865223,8.24149708463
120,eed25b33,8235,3,Baden-Württemberg,LK Calw,,,,8235,48.6789990614,8.6357698286
121,6c868591,8126,3,Baden-Württemberg,LK Hohenlohekreis,,,,8126,49.2715461389,9.61413578119
122,ab6fc42d,9672,3,Bayern,LK Bad Kissingen,,,,9672,50.2225139424,9.96470110779
123,a9297a74,9572,3,Bayern,LK Erlangen-Höchstadt,,,,9572,49.6400408309,10.9148933012
124,29b8ce67,9182,3,Bayern,LK Miesbach,,,,9182,47.7416453347,11.8089897365
125,34c93bb9,9775,3,Bayern,LK Neu-Ulm,,,,9775,48.2982265453,10.1411558091
126,c33bd3f9,9780,3,Bayern,LK Oberallgäu,,,,9780,47.572707564,10.2586229074
127,dead9e0a,9190,3,Bayern,LK Weilheim-Schongau,,,,9190,47.7875370323,11.0483364745
128,c573c5fa,9663,3,Bayern,SK Würzburg,,,,9663,49.7846554247,9.94089602932
129,17386827,11012,3,Berlin,SK Berlin Reinickendorf,,,,11012,,
130,3dcb6198,12063,3,Brandenburg,LK Havelland,,,,12063,52.6208208123,12.6283469145
131,03361c99,6439,3,Hessen,LK Rheingau-Taunus-Kreis,,,,6439,50.1419717211,8.08113471294
132,0b423a85,6535,3,Hessen,LK Vogelsbergkreis,,,,6535,50.6381193653,9.27137950882
133,090484dc,6635,3,Hessen,LK Waldeck-Frankenberg,,,,6635,51.1906875733,8.88888422026
134,6926d59a,3351,3,Niedersachsen,LK Celle,,,,3351,52.7133432321,10.1035661643
135,62b24b2d,3459,3,Niedersachsen,LK Osnabrück,,,,3459,52.3816139244,8.04515734225
136,67fd5da8,3359,3,Niedersachsen,LK Stade,,,,3359,53.578976226,9.41807038986
137,17d5f5b1,3101,3,Niedersachsen,SK Braunschweig,,,,3101,52.275221093,10.5241080552
138,f9044c26,5366,3,Nordrhein-Westfalen,LK Euskirchen,,,,5366,50.5364731669,6.6441519123
139,fe69883f,5362,3,Nordrhein-Westfalen,LK Rhein-Erft-Kreis,,,,5362,50.9049330282,6.71649101914
140,0a30d5b6,5978,3,Nordrhein-Westfalen,LK Unna,,,,5978,51.5785745363,7.63644458507
141,cbb8abb8,5913,3,Nordrhein-Westfalen,SK Dortmund,,,,5913,51.5160775711,7.47490090518
142,c2a252dc,5513,3,Nordrhein-Westfalen,SK Gelsenkirchen,,,,5513,51.5539564213,7.07124023772
143,c169a348,1051,3,Schleswig-Holstein,LK Dithmarschen,,,,1051,54.1329109614,9.10781447873
144,6a4d477a,8426,3,Baden-Württemberg,LK Biberach,,,,8426,48.1075826288,9.77425436647
145,ef103104,8335,3,Baden-Württemberg,LK Konstanz,,,,8335,47.7932127909,8.9157630123
146,4280ac12,8212,3,Baden-Württemberg,SK Karlsruhe,,,,8212,49.0113339856,8.41266976981
147,3cbd1da5,9679,3,Bayern,LK Würzburg,,,,9679,49.737626672,9.92736341488
148,2abfcee1,9761,3,Bayern,SK Augsburg,,,,9761,48.3455708649,10.885505361
149,2e32b253,9161,3,Bayern,SK Ingolstadt,,,,9161,48.7550927761,11.3950069326
150,c4b1afcd,9763,3,Bayern,SK Kempten,,,,9763,47.7381842508,10.3081184931
151,e740fc53,11004,3,Berlin,SK Berlin Charlottenburg-Wilmersdorf,,,,11004,,
152,e06721e9,6633,3,Hessen,LK Kassel,,,,6633,51.4012961379,9.4070389164
153,8728b4b6,3353,3,Niedersachsen,LK Harburg,,,,3353,53.3157734164,9.96273884793
154,32989a3e,5758,3,Nordrhein-Westfalen,LK Herford,,,,5758,52.1675778068,8.64393163854
155,3615e68c,5158,3,Nordrhein-Westfalen,LK Mettmann,,,,5158,51.2571043543,6.96906518309
156,0e75708e,5770,3,Nordrhein-Westfalen,LK Minden-Lübbecke,,,,5770,52.3524754985,8.73934839311
157,2f28e79e,5711,3,Nordrhein-Westfalen,SK Bielefeld,,,,5711,52.0109486234,8.54074389731
158,912222c7,14625,3,Sachsen,LK Bautzen,,,,14625,51.2689135848,14.2310085239
159,52aebe06,14713,3,Sachsen,SK Leipzig,,,,14713,51.3422385995,12.3747717597
160,77db0a89,8236,3,Baden-Württemberg,LK Enzkreis,,,,8236,48.9144669267,8.73708120338
161,00dc3a1f,8237,3,Baden-Württemberg,LK Freudenstadt,,,,8237,48.4744061685,8.4653129709
162,45ed680b,8216,3,Baden-Württemberg,LK Rastatt,,,,8216,48.7618192531,8.24124756893
163,6f0251ff,8326,3,Baden-Württemberg,LK Schwarzwald-Baar-Kreis,,,,8326,48.0191197382,8.41096435345
164,db89fda8,8211,3,Baden-Württemberg,SK Baden-Baden,,,,8211,48.748527439,8.23176220313
165,de2e4ae2,9573,3,Bayern,LK Fürth,,,,9573,49.4466905187,10.8496864939
166,33c09365,9375,3,Bayern,LK Regensburg,,,,9375,49.0213433263,12.1211612289
167,58938437,9464,3,Bayern,SK Hof,,,,9464,50.3107956285,11.8972631725
168,c03cd37f,9163,3,Bayern,SK Rosenheim,,,,9163,47.8443777181,12.1087247511
169,74312c0f,6438,3,Hessen,LK Offenbach,,,,6438,50.0216774635,8.81143914637
170,188e4b22,3254,3,Niedersachsen,LK Hildesheim,,,,3254,52.0902189983,9.94348097201
171,1673f343,3405,3,Niedersachsen,SK Wilhelmshaven,,,,3405,53.5659448147,8.08620462896
172,31b0fb1f,5954,3,Nordrhein-Westfalen,LK Ennepe-Ruhr-Kreis,,,,5954,51.3468447914,7.32402933363
173,fd893094,5566,3,Nordrhein-Westfalen,LK Steinfurt,,,,5566,52.2115366779,7.57944671253
174,0df1a4e0,5570,3,Nordrhein-Westfalen,LK Warendorf,,,,5570,51.8702227935,7.95829493253
175,c5abfa00,5113,3,Nordrhein-Westfalen,SK Essen,,,,5113,51.433832766,7.01715391614
176,28d5dec6,7232,3,Rheinland-Pfalz,LK Bitburg-Prüm,,,,7232,50.0621597731,6.41012996519
177,246be4a7,14612,3,Sachsen,SK Dresden,,,,14612,51.0664442924,13.7834490742
178,778ac420,16051,3,Thüringen,SK Erfurt,,,,16051,50.9832526908,11.0202248069
179,d8694503,8415,3,Baden-Württemberg,LK Reutlingen,,,,8415,48.4064763532,9.36572629856
180,18056169,8327,3,Baden-Württemberg,LK Tuttlingen,,,,8327,48.01120044,8.7941361763
181,2ed50a7e,9186,3,Bayern,LK Pfaffenhofen a.d.Ilm,,,,9186,48.5962751771,11.5242827055
182,aac9c2df,9376,3,Bayern,LK Schwandorf,,,,9376,49.3680333605,12.2530847621
183,2b7da4d6,9661,3,Bayern,SK Aschaffenburg,,,,9661,49.9638560444,9.14581192433
184,c7357ba3,9563,3,Bayern,SK Fürth,,,,9563,49.4914188335,10.9654822077
185,9047ccc5,11005,3,Berlin,SK Berlin Spandau,,,,11005,,
186,cade31f5,12071,3,Brandenburg,LK Spree-Neiße,,,,12071,51.7585932354,14.4331285714
187,53d7604f,12072,3,Brandenburg,LK Teltow-Fläming,,,,12072,52.073184313,13.276018196
188,eb6b072a,13072,3,Mecklenburg-Vorpommern,LK Rostock,,,,13072,53.91204551,12.220833831
189,6b040706,3455,3,Niedersachsen,LK Friesland,,,,3455,53.510362974,7.98324746163
190,d2f3fb07,10042,3,Saarland,LK Merzig-Wadern,,,,10042,49.4957645611,6.68048479703
191,1b81b507,8127,3,Baden-Württemberg,LK Schwäbisch Hall,,,,8127,49.1444689707,9.90893216762
192,4743779d,9174,3,Bayern,LK Dachau,,,,9174,48.3345482595,11.3571128101
193,3bb4b579,9279,3,Bayern,LK Dingolfing-Landau,,,,9279,48.641164618,12.6104771899
194,3d7f7792,9779,3,Bayern,LK Donau-Ries,,,,9779,48.8069320352,10.7123441979
195,de4a2627,9177,3,Bayern,LK Erding,,,,9177,48.3003970808,12.0006246986
196,c7b6af4b,9180,3,Bayern,LK Garmisch-Partenkirchen,,,,9180,47.5563489806,11.1296286125
197,db615c67,9273,3,Bayern,LK Kelheim,,,,9273,48.8249414287,11.857554442
198,4505c9c4,9274,3,Bayern,LK Landshut,,,,9274,48.5577554134,12.1953924179
199,adc06a03,9776,3,Bayern,LK Lindau,,,,9776,47.6051649499,9.88286136549
200,db0530a2,9677,3,Bayern,LK Main-Spessart,,,,9677,49.9935822339,9.66268166277
201,374defd7,9575,3,Bayern,LK Neustadt a.d.Aisch-Bad Windsheim,,,,9575,49.5694835927,10.4652916664
202,dc0c987e,9277,3,Bayern,LK Rottal-Inn,,,,9277,48.4245198693,12.8673504326
203,4cb385ef,9278,3,Bayern,LK Straubing-Bogen,,,,9278,48.89970504,12.5824039909
204,8e31399d,11011,3,Berlin,SK Berlin Lichtenberg,,,,11011,,
205,094e9d7f,11006,3,Berlin,SK Berlin Steglitz-Zehlendorf,,,,11006,,
206,4acc510e,12062,3,Brandenburg,LK Elbe-Elster,,,,12062,51.6122710164,13.459588917
207,4da19517,12066,3,Brandenburg,LK Oberspreewald-Lausitz,,,,12066,51.6163005208,13.9436173031
208,0bd2c7c4,4012,3,Bremen,SK Bremerhaven,,,,4012,53.5381662933,8.58850522385
209,0e6940c5,6631,3,Hessen,LK Fulda,,,,6631,50.5638809858,9.75913916517
210,7c450a13,6534,3,Hessen,LK Marburg-Biedenkopf,,,,6534,50.8368638341,8.73804376785
211,d1d59705,6413,3,Hessen,SK Offenbach,,,,6413,50.091078767,8.78096226536
212,4fb102a6,6414,3,Hessen,SK Wiesbaden,,,,6414,50.0791566662,8.26036646911
213,1c033790,3454,3,Niedersachsen,LK Emsland,,,,3454,52.7382970162,7.40268865164
214,15b57bbb,3458,3,Niedersachsen,LK Oldenburg,,,,3458,52.9880769073,8.38939656642
215,6174c3d5,3404,3,Niedersachsen,SK Osnabrück,,,,3404,52.2776798178,8.04703290985
216,b5a5624a,5512,3,Nordrhein-Westfalen,SK Bottrop,,,,5512,51.5716938262,6.9201161778
217,55dc3e1b,5914,3,Nordrhein-Westfalen,SK Hagen,,,,5914,51.348045073,7.49755553757
218,5af99410,7137,3,Rheinland-Pfalz,LK Mayen-Koblenz,,,,7137,50.3316078654,7.33216943214
219,ca468981,7138,3,Rheinland-Pfalz,LK Neuwied,,,,7138,50.5577005458,7.46900064967
220,a5f4cb91,10043,3,Saarland,LK Neunkirchen,,,,10043,49.3757016517,7.11720320683
221,4c976ea4,10045,3,Saarland,LK Saar-Pfalz-Kreis,,,,10045,49.2486993859,7.24222124863
222,3b905e32,10044,3,Saarland,LK Saarlouis,,,,10044,49.3553415477,6.77554333939
223,4bfaaabd,10041,3,Saarland,LK Stadtverband Saarbrücken,,,,10041,49.2513823946,6.95729652837
224,082b737d,14626,3,Sachsen,LK Görlitz,,,,14626,51.2256177492,14.750796811
225,995604db,14729,3,Sachsen,LK Leipzig,,,,14729,51.2214366733,12.5994908653
226,280a067d,1057,3,Schleswig-Holstein,LK Plön,,,,1057,54.2433885939,10.3636951573
227,011e5028,8337,3,Baden-Württemberg,LK Waldshut,,,,8337,47.6971334745,8.21889239137
228,e9bf9f2a,8231,3,Baden-Württemberg,SK Pforzheim,,,,8231,48.8764005469,8.71277909336
229,34ad577c,9371,3,Bayern,LK Amberg-Sulzbach,,,,9371,49.4867511317,11.8009532083
230,a8eb1043,9472,3,Bayern,LK Bayreuth,,,,9472,49.8837610883,11.5551557567
231,4188b576,9474,3,Bayern,LK Forchheim,,,,9474,49.7209968812,11.1731319634
232,350b518e,9675,3,Bayern,LK Kitzingen,,,,9675,49.7532253896,10.2560624461
233,daa33650,9373,3,Bayern,LK Neumarkt i.d.OPf.,,,,9373,49.2159614099,11.5665579197
234,ddcef249,9377,3,Bayern,LK Tirschenreuth,,,,9377,49.8993890086,12.2003418405
235,b57d5db0,9262,3,Bayern,SK Passau,,,,9262,48.5820983986,13.4150504225
236,c3b80711,9363,3,Bayern,SK Weiden i.d.OPf.,,,,9363,49.6692496128,12.1545339322
237,99f180ee,11009,3,Berlin,SK Berlin Treptow-Köpenick,,,,11009,,
238,a4c23022,12060,3,Brandenburg,LK Barnim,,,,12060,52.8232279789,13.7037311303
239,a3aff43b,12064,3,Brandenburg,LK Märkisch-Oderland,,,,12064,52.6067238051,14.1464643331
240,3aa6a581,12067,3,Brandenburg,LK Oder-Spree,,,,12067,52.244008511,14.2190594331
241,93890108,6436,3,Hessen,LK Main-Taunus-Kreis,,,,6436,50.1025789147,8.43457121479
242,d32da17b,13003,3,Mecklenburg-Vorpommern,SK Rostock,,,,13003,54.1463883937,12.1417471216
243,f56092a5,3452,3,Niedersachsen,LK Aurich,,,,3452,53.4964307678,7.36808958075
244,68e4bfad,3251,3,Niedersachsen,LK Diepholz,,,,3251,52.7284857794,8.70179913631
245,f1edee17,3252,3,Niedersachsen,LK Hameln-Pyrmont,,,,3252,52.0951381895,9.38989545155
246,f7424039,3356,3,Niedersachsen,LK Osterholz,,,,3356,53.2510067251,8.80808093198
247,420b8659,3361,3,Niedersachsen,LK Verden,,,,3361,52.973235647,9.17546449952
248,3806b734,5958,3,Nordrhein-Westfalen,LK Hochsauerlandkreis,,,,5958,51.3068253808,8.38507986661
249,3fa3aaa7,5154,3,Nordrhein-Westfalen,LK Kleve,,,,5154,51.6523631313,6.25880908496
250,0918b497,5774,3,Nordrhein-Westfalen,LK Paderborn,,,,5774,51.6641754561,8.7196350334
251,fae4f48d,5562,3,Nordrhein-Westfalen,LK Recklinghausen,,,,5562,51.6724839158,7.15924893893
252,04eb5d84,5970,3,Nordrhein-Westfalen,LK Siegen-Wittgenstein,,,,5970,50.9377386445,8.19517026923
253,0386999d,5974,3,Nordrhein-Westfalen,LK Soest,,,,5974,51.5644104976,8.21743743758
254,5bcf6fa3,5114,3,Nordrhein-Westfalen,SK Krefeld,,,,5114,51.3452191428,6.57966800647
255,b645dae1,5316,3,Nordrhein-Westfalen,SK Leverkusen,,,,5316,51.0530662603,7.01547411084
256,778ff879,5120,3,Nordrhein-Westfalen,SK Remscheid,,,,5120,51.1826933037,7.22411565185
257,99819955,5122,3,Nordrhein-Westfalen,SK Solingen,,,,5122,51.1624551579,7.06606973298
258,5d945009,7133,3,Rheinland-Pfalz,LK Bad Kreuznach,,,,7133,49.8248204055,7.68666499174
259,b1dc8f7c,7231,3,Rheinland-Pfalz,LK Bernkastel-Wittlich,,,,7231,49.924645182,6.96721862193
260,8bdc9774,7140,3,Rheinland-Pfalz,LK Rhein-Hunsrück-Kreis,,,,7140,50.0442098205,7.50009971248
261,5fd2ee50,7233,3,Rheinland-Pfalz,LK Vulkaneifel,,,,7233,50.2383358519,6.74865373201
262,12d5c6ce,7143,3,Rheinland-Pfalz,LK Westerwaldkreis,,,,7143,50.5523493705,7.86568137201
263,822887c9,7311,3,Rheinland-Pfalz,SK Frankenthal,,,,7311,49.5330640295,8.35688379873
264,7f2c43eb,14627,3,Sachsen,LK Meißen,,,,14627,51.239397748,13.4829006825
265,bf240b44,14511,3,Sachsen,SK Chemnitz,,,,14511,50.8263036941,12.9118299015
266,a0fbe10c,15084,3,Sachsen-Anhalt,LK Burgenlandkreis,,,,15084,51.1472256333,11.8834224288
267,a94dad27,15088,3,Sachsen-Anhalt,LK Saalekreis,,,,15088,51.4256710773,11.865474038
268,de4a9db1,15089,3,Sachsen-Anhalt,LK Salzlandkreis,,,,15089,51.8518591913,11.6427256195
269,8141ce31,15002,3,Sachsen-Anhalt,SK Halle,,,,15002,51.4798019096,11.9684968347
270,f646fea7,15003,3,Sachsen-Anhalt,SK Magdeburg,,,,15003,52.1165976423,11.6414820231
271,c6046751,1055,3,Schleswig-Holstein,LK Ostholstein,,,,1055,54.1896490274,10.8194270205
272,251706b7,1002,3,Schleswig-Holstein,SK Kiel,,,,1002,54.3248406926,10.1322443646
